"","iliad.txt","odyssey.txt"
"bodi",99,41
"boeb",1,0
"boeotia",6,0
"boeotian",8,0
"boethius",1,0
"bog",1,0
"boil",14,4
"boild",1,0
"boileau",1,0
"boister",1,0
"bold",185,8
"boldest",12,0
"bolingbrok",1,0
"bolissus",2,0
"bolt",9,7
"bond",3,8
"bondag",1,1
"bone",27,24
"book",96,59
"boon",1,4
"boot",3,2
"booti",1,1
"border",5,0
"bore",91,24
"borea",8,0
"boreal",1,0
"boredead",1,0
"born",61,31
"borrow",1,6
"borrowd",1,0
"borus",2,0
"bosom",56,3
"boss",3,0
"bossi",2,0
"bossus",1,0
"bottom",7,9
"bough",3,3
"bought",4,2
"bounabarshi",1,0
"bound",108,35
"boundless",19,0
"bounteous",2,2
"bounti",2,1
"bow",93,67
"bowd",3,0
"bowel",1,1
"bower",18,0
"bowl",27,23
"bowless",1,0
"bowstr",4,0
"box",2,4
"boy",18,6
"brace",9,1
"bracelet",1,0
"braid",2,0
"brain",9,6
"brake",3,0
"branch",8,2
"brand",9,1
"brandish",1,1
"brandishd",9,0
"brass",33,2
"brasshoofd",2,0
"brave",183,35
"braver",3,0
"bravest",33,6
"bravestil",1,0
"brawn",1,0
"brawni",9,4
"brazen",69,0
"brazenpoint",1,0
"breach",9,2
"bread",6,38
"breadth",2,1
"break",31,27
"breast",197,7
"breastplat",6,0
"breath",127,12
"breathless",31,0
"bred",20,5
"breed",13,14
"breez",5,2
"breezi",2,1
"brethren",2,0
"briareus",4,0
"bribe",9,1
"bridal",4,1
"bridalroom",1,0
"bride",8,4
"bridg",2,0
"bridl",1,0
"brief",9,0
"briefli",1,2
"bright",89,2
"brighten",3,0
"brightend",1,0
"brighter",2,0
"brightest",2,0
"brightey",1,0
"brilliant",1,2
"brim",5,1
"brindl",2,0
"bring",56,93
"brini",6,0
"brink",7,0
"brisei",18,0
"brisk",1,1
"brisker",2,0
"brist",3,0
"bristl",7,3
"british",1,2
"brittl",3,0
"broad",69,5
"broader",1,0
"broadest",1,0
"brodi",1,0
"broiderd",1,0
"broil",1,0
"broke",36,16
"broken",14,7
"brook",2,0
"brookd",1,0
"brother",102,20
"brotherchief",2,0
"brotherk",4,0
"brotherwarrior",2,0
"brought",26,112
"brow",27,1
"brown",4,0
"bruis",4,2
"brush",2,0
"brutal",3,0
"bryant",1,0
"brysia",1,0
"bubbl",4,2
"buckingham",1,0
"buckl",11,0
"buckler",31,0
"buckley",2,0
"bucolion",2,0
"budium",1,0
"build",2,12
"builder",3,0
"built",6,20
"bulk",10,0
"bulki",2,0
"bull",24,10
"bullhid",6,0
"bullock",1,3
"bulwalk",1,0
"bulwark",20,0
"bulwer",1,0
"bunch",1,0
"buoyd",2,0
"buprasian",1,0
"buprasium",2,0
"burden",7,7
"buri",11,11
"burial",2,1
"burlesqu",1,0
"burmann",1,0
"burn",77,18
"burnd",21,0
"burst",42,5
"bursten",1,0
"bushi",1,0
"busi",15,21
"busili",1,1
"businesspglaforg",1,0
"bussi",1,0
"buttmann",4,2
"buxom",1,0
"buy",5,1
"buzz",2,0
"byzantium",1,0
"cabesus",1,0
"cabinet",1,0
"cadenc",2,0
"cader",1,0
"cadmean",1,0
"caestus",2,0
"cake",2,0
"calab",8,0
"calamit",2,0
